병원명,일반병상수,node_name,x,y
포미즈여성,19,원남동사거리,126.9976807,37.5760613
하나이비인후과,26,삼정그린코아아파트,126.8748829,37.5478411
하늘,75,구역삼세무서,127.0392749,37.4958572
하,25,답십리역사거리,127.0556753,37.5657335
학교법인고려중앙학원고려대의과대학부속(안암),769,잠원동주민센터,127.0140771,37.5149618
학교법인가톨릭학원가톨릭대서울성모,857,고려대보건과학대학,127.024645,37.5857519
한강수,56,치과의사회관앞,127.0583125,37.548725
한국보훈복지의료공단중앙보훈,830,양남사거리,126.890037,37.5222687
한국원자력의학원원자력,433,보훈병원입구,127.1492691,37.531208
한림대강남성심,471,공릉동부아파트,127.0786477,37.6281805
한림대한강성심,128,대림삼거리,126.9095023,37.4925321
한솔,50,영등포시장역,126.9054031,37.5234146
한양대,625,석촌역,127.1084241,37.5037726
햇빛,31,한양대병원,127.04119,37.5601
연세대의과대학강남세브란스,675,역촌역,126.9220486,37.6049278
서울특별시서울의료원,806,신사동고개사거리,126.9092375,37.5963321
성심의료재단강동성심,517,숭곡초교,127.0324307,37.6085731
노원을지대,471,이수역,126.9803769,37.4847328
경찰,322,영등포청과시장,126.9010871,37.5205787
우리들,356,신동아아파트,127.0322781,37.5728409
세란,280,대방역,126.9235038,37.5129352
연세사랑,216,고척2파출소앞,126.8600625,37.5067
신촌연세,148,화계유치원,127.0212007,37.63454475
서울,137,금천우체국,126.8979961,37.4700903
영동,135,송파경찰서,127.1270483,37.5020332
아름제일,102,타임스퀘어,126.9040371,37.5172094
의료법인마리아의료재단마리아,56,연희교차로,126.9293141,37.5648453
건국대,694,배명사거리,127.0972964,37.5027406
순천향대부속서울,1198,방이사거리,127.1108392,37.5107904
서울성심,339,농협입구,127.1238118,37.4951319
홍익,311,성수대교남단교차로,127.0337863,37.5291752
대림성모,264,서울세관,127.0344199,37.5184049
성애의료재단성애,270,강동성심병원,127.1353011,37.5360466
서울현대,388,문화공원,126.8363416,37.5620109
혜민,336,길동사거리,127.1385332,37.5338884
강남베드로,396,서울대입구,126.9527294,37.4812071
나누리,182,차병원,127.0338945,37.5073269
강서힘찬,205,88체육관,126.8483674,37.5566134
서울바른,155,시계(천호대로),127.1253452,37.5376834
기쁨,186,조원동주민센터앞,126.9072415,37.4833707
서울고든,111,남부터미널역,127.0159226,37.485672
원탑,144,청담공원앞,127.0508499,37.5187111
서울필,114,성수사거리,127.0625,37.54276
서울연세,70,남부순환로서초IC서측,127.0212361,37.48316463
